Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
The free-energy principle: a unified brain theory?,https://www.nature.com/articles/nrn2787/boxes/bx1,10.1038/nrn2787,True,The free-energy principle_ a unified brain theory_.pdf,2010,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Nature Reviews Neuroscience,True,SciHub,Karl Friston
Is the free-energy principle neurocentric?,https://www.nature.com/articles/nrn2787-c2,10.1038/nrn2787-c2,True,Is the free-energy principle neurocentric_.pdf,2010,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Nature Reviews Neuroscience,True,SciHub,Karl Friston
Some interesting observations on the free energy principle,https://www.mdpi.com/1235352,10.3390/e23081076,True,,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Entropy,False,,Karl J. Friston and Lancelot Da Costa and Thomas Parr
A free energy principle for generic quantum systems,https://www.sciencedirect.com/science/article/pii/S0079610722000517,10.1016/j.pbiomolbio.2022.05.006,True,A free energy principle for generic quantum systems.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Progress in Biophysics and Molecular Biology,True,Scholar,Chris Fields and Karl Friston and James F. Glazebrook and Michael Levin
The math is not the territory: navigating the free energy principle,https://link.springer.com/article/10.1007/s10539-021-09807-0,10.1007/s10539-021-09807-0,True,The math is not the territory_ navigating the free energy principle.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Biology {&}amp$mathsemicolon$ Philosophy,True,SciHub,Mel Andrews
What does the free energy principle tell us about the brain?,https://arxiv.org/abs/1901.07945,,False,What does the free energy principle tell us about the brain_.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",,True,SciHub,SJ Gershman
Living models or life modelled? On the use of models in the free energy principle,https://journals.sagepub.com/doi/abs/10.1177/1059712320918678,10.1177/1059712320918678,True,Living models or life modelled_ On the use of models in the free energy principle.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Adaptive Behavior,True,SciHub,Thomas van Es
The hard problem of consciousness and the free energy principle,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02714/full?fbclid=IwAR1_UmCYQKWU7iJzc-7KpPkjp7g7kJpvNCixe3Tfx1u9aRoFXHjAvHSvIGs,10.3389/fpsyg.2018.02714,True,The hard problem of consciousness and the free energy principle.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Frontiers in Psychology,True,SciHub,Mark Solms
"Self-supervision, normativity and the free energy principle",https://link.springer.com/article/10.1007/s11229-020-02622-2,10.1007/s11229-020-02622-2,True,Self-supervision_ normativity and the free energy principle.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Synthese,True,SciHub,Jakob Hohwy
"First principles in the life sciences: the free-energy principle, organicism, and mechanism",https://link.springer.com/article/10.1007/s11229-018-01932-w,10.1007/s11229-018-01932-w,True,First principles in the life sciences_ the free-energy principle_ organicism_ and mechanism.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Synthese,True,SciHub,Matteo Colombo and Cory Wright
Non-equilibrium thermodynamics and the free energy principle in biology,https://link.springer.com/article/10.1007/s10539-021-09818-x,10.1007/s10539-021-09818-x,True,Non-equilibrium thermodynamics and the free energy principle in biology.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Biology {&}amp$mathsemicolon$ Philosophy,True,SciHub,Matteo Colombo and Patricia Palacios
The free energy principle made simpler but not too simple,https://arxiv.org/abs/2201.06387,,False,The free energy principle made simpler but not too simple.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",,True,SciHub,
Just noticeable difference estimation for images with free-energy principle,https://ieeexplore.ieee.org/abstract/document/6531636/,10.1109/tmm.2013.2268053,True,Just noticeable difference estimation for images with free-energy principle.pdf,2013,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",{IEEE} Transactions on Multimedia,True,SciHub,Jinjian Wu and Guangming Shi and Weisi Lin and Anmin Liu and Fei Qi
Is the free-energy principle a formal theory of semantics? From variational density dynamics to neural and phenotypic representations,https://www.mdpi.com/796786,10.3390/e22080889,True,Is the free-energy principle a formal theory of semantics_ From variational density dynamics to neural and phenotypic representations.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Entropy,True,SciHub,Maxwell J. D. Ramstead and Karl J. Friston and In{\^{e}}s Hip{\'{o}}lito
Species of realization and the free energy principle,https://www.tandfonline.com/doi/abs/10.1080/00048402.2014.992446,10.1080/00048402.2014.992446,True,Species of realization and the free energy principle.pdf,2014,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Australasian Journal of Philosophy,True,SciHub,Michael D. Kirchhoff
Free-energy principle inspired visual quality assessment: An overview,https://www.sciencedirect.com/science/article/pii/S105120041930020X,10.1016/j.dsp.2019.02.017,True,Free-energy principle inspired visual quality assessment_ An overview.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Digital Signal Processing,True,SciHub,Guangtao Zhai and Xiongkuo Min and Ning Liu
Reduced-reference image quality assessment in free-energy principle and sparse representation,https://ieeexplore.ieee.org/abstract/document/7987723/,10.1109/mmsp.2018.8547054,True,Reduced-reference image quality assessment in free-energy principle and sparse representation.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",{IEEE},True,SciHub,Wenhan Zhu and Guangtao Zhai and Yutao Liu and Ning Lin and Xiaokang Yang
A free-energy principle for representation learning,http://proceedings.mlr.press/v119/gao20a.html,10.1088/2632-2153/abf984,True,A free-energy principle for representation learning.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Machine Learning: Science and Technology,True,Scholar,Yansong Gao and Pratik Chaudhari
The neural correlates of consciousness under the free energy principle: From computational correlates to computational explanation,https://philosophymindscience.org/index.php/phimisci/article/view/9152,10.33735/phimisci.2021.81,True,The neural correlates of consciousness under the free energy principle_ From computational correlates to computational explanation.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Philosophy and the Mind Sciences,True,Scholar,Wanja Wiese and Karl J. Friston
Modelling ourselves: what the free energy principle reveals about our implicit notions of representation,https://link.springer.com/article/10.1007/s11229-021-03140-5,10.1007/s11229-021-03140-5,True,Modelling ourselves_ what the free energy principle reveals about our implicit notions of representation.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Synthese,True,SciHub,Matt Sims and Giovanni Pezzulo
Brain entropy during aging through a free energy principle approach,https://www.frontiersin.org/articles/10.3389/fnhum.2021.647513/full,10.3389/fnhum.2021.647513,True,,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Frontiers in Human Neuroscience,False,,Filippo Cieri and Xiaowei Zhuang and Jessica Z. K. Caldwell and Dietmar Cordes
The Markov blanket trick: On the scope of the free energy principle and active inference,https://www.sciencedirect.com/science/article/pii/S1571064521000634,10.1016/j.plrev.2021.09.001,True,The Markov blanket trick_ On the scope of the free energy principle and active inference.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Physics of Life Reviews,True,Scholar,Vicente Raja and Dinesh Valluri and Edward Baggs and Anthony Chemero and Michael L. Anderson
"Free-Energy Principle, Computationalism and Realism: a Tragedy",http://philsci-archive.pitt.edu/18497/,,False,Free-Energy Principle_ Computationalism and Realism_ a Tragedy.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",,True,SciHub,T van Es;I Hipólito
Laying down a forking path: Tensions between enaction and the free energy principle,https://philosophymindscience.org/index.php/phimisci/article/view/9187,10.33735/phimisci.2022.9187,True,Laying down a forking path_ Tensions between enaction and the free energy principle.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Philosophy and the Mind Sciences,True,Scholar,Ezequiel Di Paolo and Evan Thompson and Randall Beer
Cultured cortical neurons can perform blind source separation according to the free-energy principle,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004643,10.1371/journal.pcbi.1004643,True,Cultured cortical neurons can perform blind source separation according to the free-energy principle.pdf,2015,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",{PLOS} Computational Biology,True,SciHub,Takuya Isomura and Kiyoshi Kotani and Yasuhiko Jimbo
The Free Energy Principle for Perception and Action: A Deep Learning Perspective,https://www.mdpi.com/1099-4300/24/2/301,10.3390/e24020301,True,The Free Energy Principle for Perception and Action_ A Deep Learning Perspective.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Entropy,True,Scholar,Pietro Mazzaglia and Tim Verbelen and Ozan {\c{C}}atal and Bart Dhoedt
"Allostasis, interoception, and the free energy principle: Feeling our way forward",https://psyarxiv.com/zbqnx/download?format=pdf,10.1093/oso/9780198811930.003.0015,True,,2018,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Oxford University Press,False,,Andrew W. Corcoran and Jakob Hohwy
Integrating Cybernetic Big Five Theory with the Free Energy Principle: A new strategy for modeling personalities as complex systems,https://www.sciencedirect.com/science/article/pii/B9780128192009000107,10.1016/b978-0-12-819200-9.00010-7,True,,2021,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",Elsevier,False,,Adam Safron and Colin G. DeYoung
Free energy principle based state and input observer design for linear systems with colored noise,https://ieeexplore.ieee.org/abstract/document/9147581/,10.23919/acc45564.2020.9147581,True,Free energy principle based state and input observer design for linear systems with colored noise.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=Free Energy Principle&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2010",{IEEE},True,SciHub,Ajith Anil Meera and Martijn Wisse
